[ ERROR_CONTEXT : pPack->StartY : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(322)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(173)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(302)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(322)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(173)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(322)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(173)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(339)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(156)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(339)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(156)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(353)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(140)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(322)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(173)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(339)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(156)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(339)    |    ERROR_TIME : 17:04:36 ] 
